month,day,second,temp
01,22,035842,51
01,22,040342,51
01,22,040841,51
01,22,041340,51
01,22,041839,51
01,22,042338,51
01,22,042837,51
01,22,043336,51
01,22,043836,51
01,22,044335,51
01,22,044834,51
01,22,045333,51
01,22,045832,51
01,22,050331,50
01,22,050831,50
01,22,051330,50
01,22,051829,50
01,22,052328,50
01,22,052828,50
01,22,053328,50
01,22,053827,50
01,22,054326,50
01,22,054825,50
01,22,055325,50
01,22,055824,50
01,22,060324,50
01,22,060823,49
01,22,061335,49
01,22,061834,49
01,22,062333,49
01,22,062832,49
01,22,063332,49
01,22,063831,49
01,22,064330,49
01,22,064829,49
01,22,065329,49
01,22,065828,50
01,22,070328,50
01,22,070827,50
01,22,071326,50
01,22,071825,50
01,22,072323,50
01,22,072822,50
01,22,073321,50
01,22,073820,50
01,22,074320,50
01,22,074819,50
01,22,075318,50
01,22,075817,51
01,22,080317,51
01,22,080815,51
01,22,081315,51
01,22,081814,51
01,22,082314,51
01,22,082812,51
01,22,083311,51
01,22,083810,51
01,22,084310,51
01,22,084809,51
01,22,085308,51
01,22,085807,51
01,22,090307,51
01,22,090806,51
01,22,091306,52
01,22,091805,51
01,22,092304,52
01,22,092803,52
01,22,093302,52
01,22,093801,52
01,22,094300,52
01,22,094759,52
01,22,095259,53
01,22,095758,53
01,22,100257,53
01,22,100757,53
01,22,101256,53
01,22,101756,53
01,22,102255,53
01,22,102754,53
01,22,103253,53
01,22,103752,53
01,22,104251,53
01,22,104750,54
01,22,105250,54
01,22,105749,54
01,22,110249,55
01,22,110747,55
01,22,111247,55
01,22,111746,55
01,22,112245,55
01,22,112745,56
01,22,113244,56
01,22,113743,56
01,22,114242,56
01,22,114741,56
01,22,115241,56
01,22,115740,56
01,22,120239,56
01,22,120739,56
01,22,121238,56
01,22,121738,56
01,22,122237,56
01,22,122736,57
01,22,123235,57
01,22,123734,57
01,22,124234,57
01,22,124733,57
01,22,125232,57
01,22,125731,57
01,22,130230,57
01,22,130730,57
01,22,131229,57
01,22,131729,57
01,22,132229,57
01,22,132728,57
01,22,133227,57
01,22,133726,57
01,22,134226,57
01,22,134726,57
01,22,135225,57
01,22,135724,57
01,22,140224,57
01,22,140723,57
01,22,141222,57
01,22,141721,57
01,22,142220,57
01,22,142720,57
01,22,143219,57
01,22,143719,57
01,22,144218,57
01,22,144717,57
01,22,145216,57
01,22,145715,57
01,22,150214,57
01,22,150713,57
01,22,151213,57
01,22,151713,57
01,22,152212,57
01,22,152712,57
01,22,153211,57
01,22,153710,57
01,22,154209,57
