ik;Number of different words
141400;10978
141500;10981
141600;10983
141700;10985
141800;10985
141900;10986
142000;10986
142100;10988
142200;10989
142300;10992
142400;10993
142500;10994
142600;10996
142700;10997
142800;10999
142900;10999
143000;11000
143100;11000
143200;11001
143300;11004
143400;11008
143500;11008
143600;11010
143700;11011
143800;11013
143900;11013
144000;11013
144100;11013
144200;11016
144300;11017
144400;11018
144500;11018
144600;11019
144700;11022
144800;11026
144900;11028
145000;11029
145100;11029
145200;11029
145300;11030
145400;11030
145500;11032
145600;11032
145700;11032
145800;11032
145900;11032
146000;11035
146100;11036
146200;11038
146300;11038
146400;11039
146500;11042
146600;11044
146700;11048
146800;11055
146900;11065
147000;11071
147100;11075
147200;11085
147300;11086
147400;11094
147500;11105
147600;11110
147700;11115
147800;11120
147900;11123
148000;11127
148100;11137
148200;11140
148300;11146
148400;11150
148500;11155
148600;11166
148700;11172
148800;11174
148900;11178
149000;11180
149100;11184
149200;11188
149300;11190
149400;11192
149500;11194
149600;11194
149700;11197
149800;11199
149900;11200
150000;11205
150100;11207
150200;11209
150300;11212
150400;11212
150500;11213
150600;11214
150700;11215
150800;11216
150900;11218
151000;11227
151100;11229
151200;11229
151300;11229
151400;11233
151500;11233
151600;11234
151700;11234
151800;11235
151900;11235
152000;11236
152100;11237
152200;11237
152300;11238
152400;11240
152500;11242
152600;11242
152700;11245
152800;11248
152900;11250
153000;11251
153100;11251
153200;11254
153300;11257
153400;11262
153500;11268
153600;11270
153700;11272
153800;11272
153900;11273
154000;11276
154100;11281
154200;11282
154300;11285
154400;11290
154500;11293
154600;11294
154700;11298
154800;11304
154900;11304
155000;11306
155100;11307
155200;11311
155300;11312
155400;11314
155500;11315
155600;11316
155700;11318
155800;11321
155900;11321
156000;11324
156100;11325
156200;11325
156300;11325
156400;11327
156500;11331
156600;11333
156700;11334
156800;11337
156900;11337
157000;11339
157100;11342
157200;11345
157300;11346
157400;11349
157500;11357
157600;11357
157700;11357
157800;11358
157900;11362
158000;11365
158100;11365
158200;11365
158300;11367
158400;11368
158500;11368
158600;11368
158700;11369
158800;11372
158900;11373
159000;11373
159100;11378
159200;11383
159300;11384
159400;11388
159500;11389
159600;11389
159700;11390
159800;11390
159900;11390
160000;11392
160100;11393
160200;11393
160300;11394
160400;11394
160500;11395
160600;11399
160700;11399
160800;11400
160900;11404
161000;11406
161100;11407
161200;11407
161300;11408
161400;11408
161500;11408
161600;11408
161700;11413
161800;11415
161900;11415
162000;11415
162100;11416
162200;11416
162300;11418
162400;11420
162500;11420
162600;11421
162700;11421
162800;11423
162900;11423
163000;11424
163100;11424
163200;11424
163300;11425
163400;11427
163500;11427
163600;11427
163700;11431
163800;11435
163900;11439
164000;11441
164100;11442
164200;11443
164300;11446
164400;11448
164500;11448
164600;11449
164700;11450
164800;11452
164900;11454
165000;11456
165100;11456
165200;11456
